2023-03-03-04:34:14.364-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.26 63.34
2023-03-03-04:34:14.522-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.33 63.34
2023-03-03-04:34:14.678-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.67
2023-03-03-04:34:14.833-UTC 63.67 63.67 63.81 63.94 61.73 63.15 65.33 63.34
2023-03-03-04:34:14.989-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.34
2023-03-03-04:34:15.147-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.34
2023-03-03-04:34:15.306-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.33 63.34
2023-03-03-04:34:15.463-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.34
2023-03-03-04:34:15.623-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.33 63.34
2023-03-03-04:34:15.779-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.33 63.34
2023-03-03-04:34:15.936-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.34
2023-03-03-04:34:16.096-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.26 63.67
2023-03-03-04:34:16.255-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.26 63.34
2023-03-03-04:34:16.411-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.26 63.67
2023-03-03-04:34:16.569-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.34
2023-03-03-04:34:16.730-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.26 63.34
2023-03-03-04:34:16.888-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.34
2023-03-03-04:34:17.044-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.33 63.67
2023-03-03-04:34:17.204-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.34
2023-03-03-04:34:17.363-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.26 63.34
2023-03-03-04:34:17.521-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.34
2023-03-03-04:34:17.678-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.34
2023-03-03-04:34:17.835-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.26 63.34
2023-03-03-04:34:17.991-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.34
2023-03-03-04:34:18.151-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.34
2023-03-03-04:34:18.314-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.26 63.34
2023-03-03-04:34:18.473-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.33 63.41
2023-03-03-04:34:18.635-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.34
2023-03-03-04:34:18.796-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.34
2023-03-03-04:34:18.956-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.34
2023-03-03-04:34:19.115-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.73
2023-03-03-04:34:19.275-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.26 63.34
2023-03-03-04:34:19.431-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.26 63.34
